time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
26.312434299999993,0,0,23158,38809,37129,14432,8245,12615,6344,5733,0,0
27.315037800000013,0,0,228774,280726,41692,24144,31126,24322,12858,12232,0,0
28.31707390000001,40,30,1480219,141401,7453,15092,15770,23742,26033,11769,0,0
30.3200408,57,35,154973,12962,5379,4105,3796,10185,3573,4573,0,0
31.32228690000001,63,35,90592,113694,21180,16945,10588,29297,17023,10485,0,0
32.3237506,100,51,12732,5317,8086,6673,12686,16620,15713,16146,0,0
33.3248133,93,48,11909,28479,441,9201,4538,5713,5871,2179,0,0
35.32846769999999,70,48,419310,398709,18294,95055,23126,21355,10633,10602,0,0
36.33017210000001,44,43,1892448,215574,43651,23233,9354,30211,30790,10443,0,0
37.33142830000001,44,35,33695,10060,5448,2861,8970,29038,8138,6964,0,0
38.333804400000005,47,43,126605,54470,25679,26105,18603,24042,14619,6674,0,0
40.33642440000001,53,54,34529,6360,2926,2381,795,947,1018,590,0,0
42.33871699999999,48,56,213290,65799,12434,13103,5512,7915,4029,1304,0,0
43.340770800000016,37,66,61557,30730,15112,15690,5651,32922,15676,6732,0,0
44.34172120000001,24,61,312921,147568,40236,28891,17706,17970,12351,15050,0,0
47.34676019999999,34,61,1513806,20487,12302,12683,9013,7732,4903,5668,0,0
49.350480700000006,23,44,159674,297281,10649,13281,28781,8644,4883,7892,0,0
50.35223900000001,10,37,237731,137999,12627,23540,16042,24371,35426,7762,0,0
52.35526610000001,10,35,102467,112747,47091,4608,21097,12653,13548,4197,0,0
53.357913900000014,10,35,436407,14614,13439,4046,6868,5431,4728,2852,0,0
54.3587332,37,69,11298,6791,47487,17688,10307,24987,8372,6285,0,0
55.36088199999999,43,87,407718,11160,5437,15439,2974,8388,8735,2617,0,0
57.36468660000001,47,83,346457,30329,7492,3914,7896,4095,8298,9839,0,0
58.36720609999999,51,67,632389,36251,4414,3961,6184,12184,4590,3258,0,0
59.368857300000016,57,53,4483,9695,15289,11699,36206,25795,7712,4729,0,0
61.3723605,50,35,192390,36793,6605,1105,5169,5244,6053,5875,0,0
62.37481820000001,47,38,226934,181130,46201,32416,12381,16944,15428,9723,0,0
63.37638249999999,54,47,36106,32642,7251,19162,4606,35151,9155,7305,0,0
65.38022250000002,34,35,232617,42775,2801,3922,2443,4178,5022,3292,0,0
66.3822647,37,24,78372,32263,1668,1217,4352,6508,5813,1712,0,0
67.3840201,50,27,2056441,95117,68734,5510,17983,40241,13182,16520,0,0
68.38642449999999,50,38,70683,12012,30798,8018,4555,28976,16232,22188,0,0
69.38922570000001,57,54,1017400,103915,89707,16980,9778,43973,42238,21463,0,0
70.3907358,75,74,23963,19106,3416,18561,8806,35324,25649,10155,0,0
71.39261599999999,81,80,8061,5380,17259,17454,10495,18369,9531,7203,0,0
72.39555800000001,70,81,2198,15965,28099,6035,10285,12095,5923,11225,0,0
73.3976594,80,75,9260,31882,7377,21791,15061,25318,6440,12012,0,0
74.3984526,70,77,18483,15492,2439,8746,4714,10284,8986,5653,0,0
75.39966600000001,57,74,13095,12101,18692,3746,10107,4842,10728,7032,0,0
76.40184860000001,67,61,14477,19365,3245,12041,3789,21922,10877,4029,0,0
77.40415349999999,61,75,20233,12217,15815,25304,7493,11302,13962,16321,0,0
78.40531969999999,61,67,27647,41027,10359,4403,14321,20140,11151,4009,0,0
79.40819330000001,61,63,10904,52702,28294,11110,12313,14073,11075,5773,0,0
80.4113953,51,69,31524,19395,10349,12722,6457,9702,11027,15187,0,0
81.4137655,63,53,57986,43778,18905,5488,9911,41944,7669,20794,0,0
82.41535119999999,57,69,28123,16683,28367,4458,7058,13280,9638,4290,0,0
83.4168098,69,74,13446,16372,18332,5176,3843,15526,9188,4319,0,0
84.4181436,84,57,18756,22225,10251,1476,6432,33071,11762,11629,0,0
85.41919800000001,88,64,26379,15938,24446,2470,10640,34311,15049,8004,0,0
86.4206722,94,47,41848,31885,5618,4146,6701,20970,9425,8342,0,0
87.42331850000001,100,43,13090,7049,9232,3872,6726,11966,9802,11227,0,0
88.42594570000001,91,63,43048,15552,22366,8734,2994,38058,10555,11641,0,0
90.4279571,83,74,260776,15964,5587,3809,2389,5957,1735,3941,0,0
91.42998279999999,77,75,59607,15599,10512,9005,4953,11265,29869,14677,0,0
92.43214150000001,64,54,56305,63148,8922,3655,9927,12268,8147,3844,0,0
93.43350690000001,67,54,17078,18421,11655,3661,11749,36252,7079,7736,0,0
